season,team,sos
2008,Toccoa Falls ,3.1
2008,Marygrove College ,3.0
2008,Yale ,3.0
2008,Coastal Car ,3.0
2008,Palm Beach Atlantic ,3.0
2008,Mt St Marys ,3.0
2008,Oakwood ,2.9
2008,Binghamton ,2.9
2008,Manhattan ,2.9
2008,TX-San Ant ,2.9
2008,Lipscomb ,2.9
2008,Culver-Stockton ,2.9
2008,Utah Val St ,2.9
2008,Virginia-Wise ,2.8
2008,Houston Bap ,2.8
2008,Rob Morris ,2.8
2008,Harvard ,2.8
2008,TN Tech ,2.8
2008,Anderson (SC) ,2.8
2008,Central Methodist ,2.8
2008,Princeton ,2.7
2008, ,2.7
2008,Colgate ,2.7
2008,Murray St ,2.6
2008,Western New Mexico ,2.6
2008,LSU Shreveport ,2.5
2008, ,2.5
2008,Belhaven College ,2.5
2008,Hartford ,2.5
2008,WV Wesleyan ,2.5
2008,MacMurray ,2.4
2008, ,2.4
2008,Jacksonville ,2.4
2008,Army ,2.4
2008,Sacred Hrt ,2.4
2008,CS Bakersfld ,2.3
2008,VA Military ,2.3
2008, ,2.3
2008,East Central ,2.3
2008,Texas State ,2.3
2008,Central Conn ,2.2
2008,UC Davis ,2.2
2008,Fisk ,2.1
2008,Oberlin ,2.1
2008,TN Martin ,2.1
2008, ,2.0
